gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
4321,1,3,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EMERSON ELECTRIC CO,EMR,291011104,32604,3823,334513
9465,1,3,19650331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SCHLUMBERGER LTD,SLB,806857108,87347,1389,213112
1920,1,3,19670630,20150322,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AVON PRODUCTS,AVP,54303102,8868,2844,325620
2574,1,3,19670930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CSX CORP,CSX,126408103,277948,4011,482111
3121,1,3,19690331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CLOROX CO/DE,CLX,189054109,21076,2842,325612
5071,1,3,19690331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL MILLS INC,GIS,370334104,40704,2040,311230
7881,1,3,19690630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEWMONT MINING CORP,NEM,651639106,1164727,1040,212221
7154,1,3,19700630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MCDONALD'S CORP,MCD,580135101,63908,5812,722513
6730,1,3,19701231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LILLY (ELI) & CO,LLY,532457108,59478,2834,325412
2086,1,3,19720930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BAXTER INTERNATIONAL INC,BAX,71813109,10456,2834,325412
2111,1,3,19720930,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BECTON DICKINSON & CO,BDX,75887109,10795,3841,339112
6266,1,3,19730630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JOHNSON & JOHNSON,JNJ,478160104,200406,2834,325412
5125,1,3,19731231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENUINE PARTS CO,GPC,372460105,40987,5013,423120
5606,1,3,19741231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HP INC,HPQ,40434L105,47217,3570,33411
11506,1,3,19750331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WILLIAMS COS INC,WMB,969457100,107263,4922,486210
2044,1,3,19750630,20180102,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BARD (C.R.) INC,BCR,67383109,9892,3841,339112
4988,1,3,19751231,20170601,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEGNA INC,TGNA,87901J105,39899,4833,515120
6078,1,3,19760331,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL FLAVORS & FRAGRANCES,IFF,459506101,51253,2860,325199
1177,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AETNA INC,AET,00817Y108,1122304,6324,524114
1447,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN EXPRESS CO,AXP,25816109,4962,6141,522210
2547,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CIGNA CORP,CI,125509109,701221,6324,524114
2968,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,JPMORGAN CHASE & CO,JPM,46625H100,19617,6020,522110
3505,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MOLSON COORS BREWING CO,TAP,60871R209,24545,2082,312120
3980,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DISNEY (WALT) CO,DIS,254687106,1001039,4888,515120
4093,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DUKE ENERGY CORP,DUK,26441C204,1326160,4931,2211
4517,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NEXTERA ENERGY INC,NEE,65339F101,753308,4911,22111
6742,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,LINCOLN NATIONAL CORP,LNC,534187109,59558,6311,524113
7647,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BANK OF AMERICA CORP,BAC,60505104,70858,6020,522110
8007,1,3,19760630,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WELLS FARGO & CO,WFC,949746101,72971,6020,522110
3024,1,3,19760630,20160118,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHUBB CORP,CB.1,171232101,20171,6331,524126
3813,1,3,19761231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TARGET CORP,TGT,8.7612E+110,27419,5331,452990
6008,1,3,19761231,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTEL CORP,INTC,458140100,50863,3674,334413
