gvkey,gvkeyx,from,thru,tic,co_conm,co_tic,co_cik
160329,3,20060403,,I0003,ALPHABET INC,GOOGL,1652044
62655,3,20060403,20130523,I0003,DEAN FOODS CO,DF,931336
61513,3,20060420,20160512,I0003,SANDISK CORP,SNDK,1000180
6653,3,20060424,20161201,I0003,LEGG MASON INC,LM,704051
121718,3,20060602,,I0003,JUNIPER NETWORKS INC,JNPR,1043604
120093,3,20060628,20160303,I0003,CNX RESOURCES CORPORATION,CNX,1070412
174490,3,20060718,20150406,I0003,WINDSTREAM HOLDINGS INC,WIN,1282266
174729,3,20060801,20180530,I0003,WYNDHAM DESTINATIONS INC,WYND,1361658
149070,3,20060811,,I0003,CME GROUP INC,CME,1156375
175263,3,20061002,,I0003,WESTERN UNION CO,WU,1365135
13599,3,20061106,,I0003,CELGENE CORP,CELG,816284
165993,3,20061110,,I0003,FIDELITY NATIONAL INFO SVCS,FIS,1136893
260774,3,20061110,,I0003,CBRE GROUP INC,CBRE,1138118
111864,3,20061117,,I0003,COGNIZANT TECH SOLUTIONS,CTSH,1058290
142460,3,20061120,20140921,I0003,PEABODY ENERGY CORP,BTU,1064728
12206,3,20061204,20150728,I0003,DIRECTV,DTV.2,1465112
176282,3,20070103,20170227,I0003,SPECTRA ENERGY CORP,SE.7,1373835
29875,3,20070110,,I0003,AVALONBAY COMMUNITIES INC,AVB,915912
64891,3,20070202,,I0003,RALPH LAUREN CORP,RL,1037038
11115,3,20070212,,I0003,VARIAN MEDICAL SYSTEMS INC,VAR,203527
122015,3,20070215,20151102,I0003,HUDSON CITY BANCORP INC,HCBK,921847
11555,3,20070222,20150630,I0003,INTEGRYS HOLDING INC,WEC3,916863
65609,3,20070302,,I0003,C H ROBINSON WORLDWIDE INC,CHRW,1043277
7063,3,20070320,,I0003,HOST HOTELS & RESORTS INC,HST,1070750
63643,3,20070329,20131222,I0003,ABERCROMBIE & FITCH  -CL A,ANF,1018840
142953,3,20070402,,I0003,MONDELEZ INTERNATIONAL INC,MDLZ,1103982
157057,3,20070410,,I0003,ASSURANT INC,AIZ,1267238
60992,3,20070531,20111218,I0003,SUNEDISON INC,SUNEQ,945436
8717,3,20070601,20160131,I0003,PRECISION CASTPARTS CORP,PCP,79958
