2017,2018,,Security,Symbol,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,,
,,139,Cummins Inc.,CMI,reports,Industrials,Industrial Machinery,"Columbus, Indiana",23832,26172,1919,,
,,140,CVS Health,CVS,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996,,
,,141,D. R. Horton,DHI,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978,,
,,142,Danaher Corp.,DHR,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,,
,,143,Darden Restaurants,DRI,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,,
,,144,DaVita Inc.,DVA,reports,Health Care,Health Care Facilities,"Denver, Colorado",39660,927066,,,
,,145,Deere & Co.,DE,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837,,
,,146,Delta Air Lines Inc.,DAL,reports,Industrials,Airlines,"Atlanta, Georgia",41528,27904,,,
,,147,Dentsply Sirona,XRAY,reports,Health Care,Health Care Supplies,"York, Pennsylvania",39766,818479,,,
,,148,Devon Energy,DVN,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",36768,1090012,,,
,fang,149,Stericycle Inc ,SRCL,reports,,,,,861878,,,
,,150,Digital Realty Trust Inc,DLR,reports,Real Estate,Specialized REITs,"San Francisco, California",42508,1297996,,,
,,151,Discover Financial Services,DFS,reports,Financials,Consumer Finance,"Riverwoods, Illinois",39265,1393612,,,
,,152,Discovery Inc. Class A,DISCA,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",40238,1437107,,,
,,153,Discovery Inc. Class C,DISCK,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",41858,1437107,,,
DISH,,154,Linear Technology ,LLTC,,,,,,791907,,,
,,155,Dollar General,DG,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",41246,29534,,,
,,156,Dollar Tree,DLTR,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",40896,935703,,,
,,157,Dominion Energy,D,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,,
,,158,Dover Corp.,DOV,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31351,29905,,,
BHF,DOW,159,AutoNation Inc.,AN,reports,,,,,350698,,,
,,160,DowDuPont,DWDP,reports,Materials,Specialty Chemicals,"Midland, Michigan",,1666700,2017,,
,,161,DTE Energy Co.,DTE,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995,,
DRE,,162,Transocean,RIG,,,,,,1451505,,,
,,163,Duke Energy,DUK,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,1326160,,,
DXC,,164,Southwestern Energy ,SWN,,,,,,7332,,,
,,165,E*Trade,ETFC,reports,Financials,Investment Banking & Brokerage,"New York, New York",38077,1015780,,,
,,166,Eastman Chemical,EMN,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",34335,915389,,,
,,167,Eaton Corporation,ETN,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,,
,,168,eBay Inc.,EBAY,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995,,
,,169,Ecolab Inc.,ECL,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",32539,31462,,,
,,170,Edison Int'l,EIX,reports,Utilities,Electric Utilities,"Rosemead, California",,827052,1886,,
,,171,Edwards Lifesciences,EW,reports,Health Care,Health Care Equipment,"Irvine, California",40634,1099800,,,
,,172,Electronic Arts,EA,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,712515,,,
,,173,Emerson Electric Company,EMR,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",23832,32604,1890,,
,,174,Entergy Corp.,ETR,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913,,
,,175,EOG Resources,EOG,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",36832,821189,,,
,,176,Equifax Inc.,EFX,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",35600,33185,,,
,,177,Equinix,EQIX,reports,Real Estate,Specialized REITs,"Redwood City, California",42083,1101239,,,
,,178,Equity Residential,EQR,reports,Real Estate,Residential REITs,"Chicago, Illinois",37228,906107,,,
,,179,"Essex Property Trust, Inc.",ESS,reports,Real Estate,Residential REITs,"Palo Alto, California",41731,920522,,,
,,180,Estee Lauder Cos.,EL,reports,Consumer Staples,Personal Products,"New York, New York",38722,1001250,,,
,EVRG,181,Navient Corp ,NAVI,reports,,,,,1593538,,,
,,182,Eversource Energy,ES,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966,,
RE,,183,Mead Johnson,MJN,reports,,,,,200406,,,
,,184,Exelon Corp.,EXC,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000,,
,,185,Expedia Group,EXPE,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",39357,1324424,,,
,,186,Expeditors,EXPD,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",39365,746515,,,
,,187,Extra Space Storage,EXR,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",42388,1289490,,,
,,188,Exxon Mobil Corp.,XOM,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999,,
,,189,F5 Networks,FFIV,reports,Information Technology,Communications Equipment,"Seattle, Washington",40532,1048695,1996,,
,,190,"Facebook, Inc.",FB,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",41631,1326801,,,
,,191,Fastenal Co,FAST,reports,Industrials,Building Products,"Winona, Minnesota",40071,815556,,,
,,192,Federal Realty Investment Trust,FRT,reports,Real Estate,Retail REITs,"Rockville, Maryland",42401,34903,,,
,,193,FedEx Corporation,FDX,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,1048911,,,
,,194,Fidelity National Information Services,FIS,reports,Information Technology,Internet Software & Services,"Jacksonville, Florida",39031,1136893,,,
,,195,Fifth Third Bancorp,FITB,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,,
,,196,FirstEnergy Corp,FE,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,,
,FRC,197,SCANA,SCG,reports,,,,,754737,,,
,,198,Fiserv Inc,FISV,reports,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",36983,798354,,,
,FLT,199,Time Warner ,TWX,reports,,,,,1105705,,,
,,200,FLIR Systems,FLIR,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",39815,354908,,,
,,201,Flowserve Corporation,FLS,reports,Industrials,Industrial Machinery,"Irving, Texas",39723,30625,,,
,,202,Fluor Corp.,FLR,reports,Industrials,Construction & Engineering,"Irving, Texas",29311,1124198,,,
,,203,FMC Corporation,FMC,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",40044,37785,,,
,,204,Foot Locker Inc,FL,reports,Consumer Discretionary,Apparel Retail,"New York, New York",42464,850209,,,
,,205,Ford Motor,F,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903,,
,FTNT,206,Envision Healthcare ,EVHC,reports,,,,,1344154,,,
,,207,Fortive Corp,FTV,reports,Industrials,Industrial Machinery,"Everett, Washington",42552,1659166,,,
,,208,Fortune Brands Home & Security,FBHS,reports,Industrials,Building Products,"Deerfield, Illinois",42543,1519751,,,
,,209,Franklin Resources,BEN,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,,
,,210,Freeport-McMoRan Inc.,FCX,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912,,
,,211,Gap Inc.,GPS,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",31655,39911,,,
,,212,Garmin Ltd.,GRMN,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,1121788,,,
IT,,213,Dun and Bradstreet,DNB,reports,,,,,1115222,,,
,,214,General Dynamics,GD,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899,,
,,215,General Electric,GE,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,,
,,216,General Mills,GIS,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",25293,40704,1856,,
,,217,General Motors,GM,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",41431,1467858,,,
,,218,Genuine Parts,GPC,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",27029,40987,1925,,
,,219,Gilead Sciences,GILD,reports,Health Care,Biotechnology,"Foster City, California",38169,882095,,,
,,220,Global Payments Inc.,GPN,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",42485,1123360,,,
,,221,Goldman Sachs Group,GS,reports,Financials,Investment Banking & Brokerage,"New York, New York",37459,886982,,,
,,222,Grainger (W.W.) Inc.,GWW,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",29767,277135,,,
,,223,Halliburton Co.,HAL,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919,,
,,224,Hanesbrands Inc,HBI,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",42083,1359841,,,
,,225,Harley-Davidson,HOG,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,1903,,
,,226,Harris Corporation,HRS,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",39713,202058,,,
,,227,Hartford Financial Svc.Gp.,HIG,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,,,
,,228,Hasbro Inc.,HAS,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30955,46080,,,
,,229,HCA Holdings,HCA,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",42031,860730,,,
,,230,HCP Inc.,HCP,reports,Real Estate,Health Care REITs,"Long Beach, California",39538,765880,,,
,,231,Helmerich & Payne,HP,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",40238,46765,,,
,,232,Henry Schein,HSIC,reports,Health Care,Health Care Distributors,"Melville, New York",42080,1000228,,,
,,233,The Hershey Company,HSY,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894,,
,,234,Hess Corporation,HES,reports,Energy,Integrated Oil & Gas,"New York, New York",30833,4447,,,
,,235,Hewlett Packard Enterprise,HPE,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",42310,1645590,,,
HLT,,236,Yahoo Inc ,YHOO,reports,,,,,1011006,,,
,HFC,237,Acuity Brands,AYI,reports,,,,,1144215,,,
,,238,Hologic,HOLX,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42459,859737,,,
,,239,Home Depot,HD,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",32233,354950,,,
,,240,Honeywell Int'l Inc.,HON,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",23467,773840,1906,,
,,241,Hormel Foods Corp.,HRL,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",39876,48465,,,
,,242,Host Hotels & Resorts,HST,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",39161,1070750,,,
,,243,HP Inc.,HPQ,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",27394,47217,1939 (2015),,
,,244,Humana Inc.,HUM,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,,
,,245,Huntington Bancshares,HBAN,reports,Financials,Regional Banks,"Columbus, Ohio",,49196,1866,,
